Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.4	51.9	RU	DE		CN
0.0	11.7	RU	FI		CN
0.0	5.8	RU	FR		CN
1.5	103.0	RU	GB		CN
0.7	164.1	RU	HK		CN
0.1	4.8	RU	IT		CN
79.6	4515.2	RU	NL		CN
0.9	179.9	RU	SG		CN
165.0	10589.5	RU	VG		CN
1547.5	1591.8	SA			CN
59.7	1648.1	SA	NL		CN
0.2	73.1	SA	SE		CN
2132.7	6355.4	SE			CN
0.1	13.7	SE	BE		CN
8.2	350.4	SE	CH		CN
12.7	756.9	SE	CY		CN
3.0	472.3	SE	DE		CN
34.2	1063.4	SE	DK		CN
12.9	208.1	SE	FI		CN
6.3	415.0	SE	FR		CN
2.5	92.2	SE	GB		CN
14.0	1989.5	SE	HK		CN
5.7	267.9	SE	IT		CN
1.1	141.3	SE	KR		CN
10.5	278.7	SE	KY		CN
266.5	3125.4	SE	NL		CN
4.5	264.1	SE	NO		CN
149.4	2009.3	SE	SG		CN
0.3	121.2	SE	US		CN
4244.6	45425.3	SG			CN
0.4	88.2	SG	AU		CN
0.7	19.9	SG	BE		CN
16.8	305.6	SG	BM		CN
301.0	6311.2	SG	HK		CN
407.8	6786.7	SG	KY		CN
3.0	2131.6	SG	MU		CN
0.6	111.8	SG	MY		CN
2.1	348.9	SG	NL		CN
6.6	689.0	SG	US		CN
97.6	6434.6	SG	VG		CN
2.2	286.9	SG	WS		CN
2.3	38.3	SI			CN
2.6	222.8	SZ	HK		CN
3697.5	3711.7	TH			CN
17.4	682.9	TH	BM		CN
0.0	1.8	TH	DK		CN
737.3	16612.7	TH	HK		CN
3.1	101.9	TH	KY		CN
146.7	3985.3	TH	SG		CN
2.2	517.5	TH	VG		CN
0.0	3.8	TN	IT		CN
159.5	215.4	TR			CN
2.0	230.5	TR	DE		CN
14.0	331.2	TR	NL		CN
29009.1	29198.4	TW			CN
28.7	884.8	TW	BM		CN
66.2	2352.3	TW	BN		CN
13.1	345.2	TW	BZ		CN
0.3	61.9	TW	DE		CN
8.2	385.4	TW	FI		CN
0.9	87.0	TW	GB		CN
19805.6	135976.2	TW	HK		CN
1.5	255.6	TW	IT		CN
9.4	454.7	TW	KR		CN
1109.3	10771.4	TW	KY		CN
1253.9	13802.5	TW	MU		CN
102.4	1602.4	TW	MY		CN
0.4	254.2	TW	NL		CN
56.7	1001.0	TW	NZ		CN
130.0	881.9	TW	PA		CN
0.2	44.5	TW	SA		CN
611.3	2564.8	TW	SC		CN
511.1	7559.6	TW	SG		CN
3.3	327.6	TW	US		CN
22934.1	182602.2	TW	VG		CN
20372.7	27445.3	TW	WS		CN
33.1	33.1	UA			CN
54212.2	75811.0	US			CN
1.8	181.3	US	AT		CN
26.5	1085.4	US	AU		CN
1273.8	6877.7	US	BB		CN
9.4	159.0	US	BE		CN
99.3	1503.7	US	BM		CN
0.1	50.5	US	BN		CN
14.2	348.7	US	BR		CN
19.9	2924.8	US	CA		CN
894.6	5172.2	US	CH		CN
231.7	4881.5	US	DE		CN
39.2	1676.4	US	DK		CN
0.5	27.1	US	ES		CN
0.2	27.8	US	FI		CN
118.4	2743.4	US	FR		CN
1773.2	14824.9	US	GB		CN
11130.3	115590.6	US	HK		CN
2015.3	3872.3	US	IE		CN
3.9	544.0	US	IL		CN
3.9	134.2	US	IN		CN
56.0	1279.0	US	IT		CN
14.2	1456.9	US	JP		CN
40.6	1088.5	US	KR		CN
47.5	2431.1	US	KY		CN
8.2	12.5	US	LT		CN
294.4	2671.0	US	LU		CN
274.7	274.7	US	MH		CN
5299.2	21672.9	US	MU		CN
2.7	511.3	US	MY		CN
1895.5	13507.9	US	NL		CN
1.3	178.4	US	NO		CN
0.6	95.2	US	PT		CN
84.9	2136.1	US	SE		CN
4772.0	26505.3	US	SG		CN
1466.0	31679.5	US	VG		CN
54.7	54.7	US	VU		CN
2.5	589.9	US	WS		CN
0.2	57.1	VE	SE		CN
0.0	4.0	VN			CN
3.1	339.1	VN	HK		CN
0.0	9.9	VN	KY		CN
208.9	441.5	ZA			CN
2.4	151.4	ZA	AU		CN
0.0	0.7	ZA	BE		CN
18.8	900.2	ZA	CH		CN
62.8	794.8	ZA	CY		CN
61.4	948.0	ZA	GB		CN
42.5	1295.3	ZA	LU		CN
4.6	321.0	ZA	MU		CN
0.1	41.1	ZA	SE		CN
