Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.1	2.3	JP	AT		IT
1119.6	3269.0	JP	BE		IT
0.8	14.1	JP	BG		IT
3.6	115.8	JP	CH		IT
24.0	823.7	JP	DE		IT
0.1	2.3	JP	DK		IT
0.3	5.5	JP	ES		IT
6.7	89.9	JP	FR		IT
245.9	2767.3	JP	GB		IT
0.2	9.6	JP	IE		IT
28.7	315.9	JP	LU		IT
376.1	2274.8	JP	NL		IT
1.1	29.7	JP	SE		IT
5.1	72.4	JP	US		IT
0.0	0.4	JP	VG	LU	IT
8.5	9.2	KE			IT
301.5	365.8	KR			IT
44.6	194.8	KR	DE		IT
10.0	81.6	KR	FR		IT
0.0	0.5	KR	IE		IT
13.4	187.2	KR	NL		IT
1.8	1.9	KW			IT
0.0	6.7	KW	DE		IT
44.0	882.7	KW	GB		IT
2998.8	3810.8	KW	NL		IT
7.3	7.4	LB			IT
4.2	71.4	LB	FR		IT
0.5	63.8	LB	LU		IT
5.9	155.8	LI			IT
2.7	2.8	LK			IT
0.0	44.0	LK	NL		IT
2.5	26.6	LT			IT
24.6	413.1	LU			IT
158.4	159.9	LY			IT
41.5	45.3	LY	NL		IT
6.0	6.0	MA			IT
14.1	24.3	MD			IT
1.7	6.0	ME			IT
0.7	3.5	MG			IT
0.0	1.0	MY	SG	NL	IT
0.5	1.7	NA			IT
1.6	13.3	NI			IT
1159.9	4802.4	NL			IT
0.8	25.5	NL	AT		IT
3.3	218.1	NL	BE		IT
195.9	502.6	NL	BM		IT
0.6	65.2	NL	CH	GB	IT
0.1	4.3	NL	DE		IT
0.3	16.1	NL	FR		IT
15.6	303.9	NL	LU		IT
0.3	7.9	NO	NL		IT
18.1	19.4	NZ			IT
0.9	60.2	NZ	FR		IT
189.1	1367.8	NZ	LU		IT
6.3	311.1	NZ	PT		IT
4.2	154.3	OM	CH		IT
1.6	10.9	PE			IT
12.8	13.0	PH			IT
2.7	147.6	PH	GB		IT
3.8	13.3	PK			IT
74.8	96.9	PL			IT
0.3	18.5	PL	AT		IT
19.5	43.1	PL	LU		IT
0.1	4.8	PL	NL		IT
166.5	335.6	PT			IT
0.4	64.1	PT	BE		IT
3.4	99.2	PT	ES		IT
30.4	563.7	PT	LU		IT
1.8	103.9	PT	LU	NL	IT
0.9	25.5	PT	LV		IT
0.1	8.0	PT	NL		IT
1.0	3.4	PY			IT
483.3	487.9	QA			IT
226.5	2065.7	QA	LU		IT
83.2	108.9	QA	NL		IT
108.9	297.3	RO	LI		IT
16.5	25.7	RS			IT
525.1	530.0	RU			IT
6.8	190.4	RU	AT		IT
25.0	398.2	RU	BE		IT
2.6	2.7	RU	BM		IT
0.6	26.3	RU	BM	CH	IT
0.0	1.5	RU	BM	FR	IT
0.5	55.3	RU	BS	LU	IT
76.2	1212.7	RU	CH		IT
9.3	124.3	RU	CY		IT
0.3	14.5	RU	CY	GB	IT
0.1	7.6	RU	CZ		IT
0.0	1.7	RU	DE		IT
18.6	382.4	RU	FR		IT
0.2	7.7	RU	GB		IT
0.2	14.1	RU	JE		IT
83.1	847.8	RU	LU		IT
8.1	231.8	RU	MT		IT
1314.8	2005.4	RU	NL		IT
0.2	34.8	RU	NL	SI	IT
0.6	12.5	RU	SE		IT
0.2	4.3	RU	VG	CY	IT
43.1	43.5	SA			IT
0.1	4.2	SA	CH		IT
0.0	0.9	SA	LI	GB	IT
