Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)	larger estimate
n.a.		DK	CN	18.5735729	14.11935478	1
EG			CN	24.36786919	60.659544	2
FJ			CN	0.485647822	1.302839	2
CN		FI	CN	0.003320324	0.001122632	1
DK		FI	CN	43.68328356	14.76971718	1
FI			CN	4457.094789	1506.98446	1
JP		FI	CN	90.11225268	30.46777573	1
RU	JY	FI	CN	1.064022068	0.35975558	1
SE		FI	CN	145.9520528	49.3477222	1
DK	CH	FI	CN	0.029701414	0.010042319	1
TW		FI	CN	165.9653146	56.11438882	1
US		FI	CN	75.35928294	25.4796619	1
n.a.		FI	CN	25.53733094	8.634404851	1
AU		FR	CN	2.910980189	2.367749506	1
AT		FR	CN	15.83529767	12.88020385	1
BE		FR	CN	136.7263955	111.2112877	1
FR	BE	FR	CN	14.59238046	11.86923283	1
n.a.	BE	FR	CN	1.553530936	1.263619766	1
US	KY	FR	CN	1.066264773	0.867284463	1
n.a.	HK	FR	CN	5.448763773	4.431946249	1
CN		FR	CN	5.052241518	4.109420738	1
FR			CN	25440.19337	20692.68816	1
DE		FR	CN	416.4403477	338.7266019	1
IN		FR	CN	2.494942546	2.029350459	1
IT		FR	CN	186.3578161	151.5807729	1
JP		FR	CN	81.95626941	66.66205326	1
GB	JY	FR	CN	1.038204177	0.844460377	1
LB		FR	CN	89.76158032	73.01078113	1
FR	LU	FR	CN	21.54579494	17.52504037	1
GB	LU	FR	CN	5.547502411	4.512258841	1
US	LU	FR	CN	20.50398914	16.67765049	1
IT	MC	FR	CN	0.000504034	0.000409974	1
BE	NL	FR	CN	103.9072792	84.51668961	1
FR	NL	FR	CN	226.5130047	184.242427	1
NL		FR	CN	6.832454156	5.557420148	1
SE	NL	FR	CN	64.32433728	52.32049272	1
US	NL	FR	CN	46.49262911	37.81643723	1
RU		FR	CN	1.777295494	1.445626646	1
ES		FR	CN	10.45294199	8.502272992	1
SE		FR	CN	11.22850921	9.133108237	1
CH		FR	CN	95.82263135	77.94075305	1
US	CH	FR	CN	14.18146279	11.53499829	1
n.a.	CH	FR	CN	38.45949304	31.28239965	1
AE		FR	CN	19.49612703	15.85786991	1
FR	GB	FR	CN	1.108573296	0.901697608	1
SE	GB	FR	CN	0.90043137	0.732397953	1
GB		FR	CN	263.3042765	214.1679194	1
n.a.	GB	FR	CN	2.926092497	2.38004164	1
US		FR	CN	947.8588667	770.974798	1
n.a.	VG	FR	CN	0.004517999	0.003674875	1
n.a.		FR	CN	331.0327859	269.2573169	1
