Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)
n.a.	CW	NL	IT	42.67110662	89.74462171
n.a.	CY	NL	IT	2.872531418	0.797895098
DK	NL		IT	9.095743266	85.53741119
FI	NL		IT	7.944328312	92.1184451
FR	NL		IT	304.4400605	704.5865438
DE	NL		IT	564.8316274	3894.105267
GR	NL		IT	0.740740741	4.08E-26
IS	NL		IT	0.946024617	5.21E-26
IN	NL		IT	44.40808259	17.58549241
FR	IE	NL	IT	5.440414508	3.865284626
GB	IE	NL	IT	10.6091718	7.537563285
US	IE	NL	IT	207.1731486	147.1915761
IL	NL		IT	12.4766389	41.22800539
IT	NL		IT	698.0514984	7659.017069
JP	NL		IT	231.1035714	937.0234719
DE	JY	NL	IT	0.798403194	4.39E-26
CH	JY	NL	IT	5.204938272	2.86E-25
GB	JY	NL	IT	110.9429999	6.11E-24
US	JY	NL	IT	0.173611111	9.56E-27
KR	NL		IT	39.57219251	122.3172429
KW	NL		IT	12.24691358	3703.865656
LY	NL		IT	207.1856287	47.49886575
n.a.	LI	NL	IT	5.931392647	1.336619441
DZ	LU	NL	IT	17.92722547	48.49962963
IT	LU	NL	IT	207.952638	562.5871075
NL	LU	NL	IT	0.972014305	2.629650297
PT	LU	NL	IT	3.669879926	9.928352688
ZA	LU	NL	IT	0.694444444	1.87872342
SE	LU	NL	IT	6.335456246	17.13970084
US	LU	NL	IT	452.6336428	1224.537733
n.a.	LU	NL	IT	24.36024043	65.90326207
MY	NL		IT	305.5888224	-3.39E-25
n.a.	MT	NL	IT	1.505817933	8.29E-26
MX	NL		IT	7.584830339	4.17E-25
MC	NL		IT	4.790419162	2.64E-25
BE	NL		IT	0.593139265	0.524132743
CN	NL		IT	12.9883447	11.47726536
FR	NL		IT	1628.048197	1438.639149
DE	NL		IT	354.0996281	312.9032596
IS	NL		IT	64.2228987	56.75113089
IL	NL		IT	5.189620758	4.585854156
IT	NL		IT	12071.80231	10667.35459
KW	NL		IT	5.189620758	4.585854156
NL			IT	2677.889128	2366.340347
NO	NL		IT	2.256944444	1.994368865
ZA	NL		IT	0.081526104	0.072041261
ES	NL		IT	6.539321474	5.778529098
SE	NL		IT	1096.245529	968.7070303
TN	NL		IT	95.04989007	83.99167371
AE	NL		IT	37.3253493	32.98287412
GB	NL		IT	119.2309276	105.3594608
US	NL		IT	462.0493809	408.2940108
n.a.	NL		IT	394.1110075	348.2596678
n.a.	PA	NL	IT	0.399201597	0.06117484
PL	NL		IT	0.131651518	1.111152795
PT	NL		IT	0.391096693	0.519447224
QA	NL		IT	380.9335363	111.5920573
RU	NL		IT	426.3067615	1831.417665
SA	NL		IT	34.46045625	274.1007794
SG	NL		IT	113.1992181	91.6468906
ZA	NL		IT	15.78048368	4.493811275
LK	NL		IT	0.259067358	1.43E-26
SE	NL		IT	561.5448815	1248.902281
DK	CH	NL	IT	19.42365269	120.899564
ZA	CH	NL	IT	1.813471503	11.2876768
SE	CH	NL	IT	8.724388477	54.30362556
CH	NL		IT	175.4093774	1091.808919
GB	CH	NL	IT	4.497611967	27.99469978
n.a.	CH	NL	IT	8.699948414	54.15150212
TW	NL		IT	7.940232408	93.56966115
TR	NL		IT	10.77844311	125.1378784
UA	NL		IT	198.6027944	889.0842208
AE	NL		IT	0.296023464	4.10E-17
IT	GB	NL	IT	55.19168291	280.2483268
GB	NL		IT	113.5015835	576.3301135
US	GB	NL	IT	19.70339661	100.0484791
n.a.	GB	NL	IT	7.663577933	38.91356052
US	NL		IT	10879.22646	16792.30915
US	VG	NL	IT	45.45454545	0.515833972
n.a.	VG	NL	IT	1.034261156	0.011737155
n.a.	NL		IT	35.83903378	30.7155235
CW	KY	NZ	IT	0.790852353	0
NZ			IT	66.71130774	4.05E-22
n.a.	GB	NZ	IT	0.173611111	19.13630044
NI			IT	5.579379562	1
NE			IT	0.017839196	0
NG			IT	3.946272695	0
n.a.	BE	NO	IT	0.259067358	0
JP	NO		IT	16.77520561	-2.22E-33
SE	JY	NO	IT	0.199600798	0
NO			IT	87.31537139	0
OM			IT	0.002359443	0
PK			IT	8.989915169	2.5
CL	PA		IT	0.612345679	35.93526127
n.a.	LI	PA	IT	6.387225549	0.000617817
n.a.	PA		IT	36.04452786	0.000697459
PY			IT	0.423107088	1
PE			IT	6.214994265	1
PH			IT	51.27579323	7
n.a.	CY	PL	IT	1.069518717	0.079501612
